order_id,customer_id,order_date,status,region_code
1,53.0,2024-10-04 20:38:10,DELIVERED,EAST
2,296.0,2025-11-24 05:42:46,DELIVERED,NORTH
3,208.0,2024-07-23 09:19:24,PLACED,EAST
4,470.0,2024-01-19 23:08:18,DELIVERED,WEST
5,6.0,2026-04-24 07:11:30,DELIVERED,WEST
6,223.0,2025-01-04 12:44:52,DELIVERED,WEST
7,420.0,2025-12-05 20:35:48,DELIVERED,CENTRAL
8,7.0,2026-07-21 05:25:41,SHIPPED,CENTRAL
9,213.0,2025-03-08 00:48:06,PLACED,SOUTH
10,358.0,2024-03-26 12:55:56,PLACED,NORTH
11,306.0,2026-06-17 00:51:30,DELIVERED,NORTH
12,112.0,2024-03-17 04:01:18,DELIVERED,SOUTH
13,292.0,2024-09-07 15:00:47,DELIVERED,CENTRAL
14,182.0,2026-06-08 00:14:28,RETURNED,CENTRAL
15,37.0,2025-07-13 12:48:21,PLACED,EAST
16,378.0,2025-05-16 11:40:15,CANCELLED,NORTH
17,67.0,2025-10-25 19:47:14,SHIPPED,SOUTH
18,282.0,2024-07-08 13:21:20,DELIVERED,WEST
19,215.0,2026-03-26 00:13:42,DELIVERED,CENTRAL
20,112.0,2024-03-31 09:16:43,DELIVERED,CENTRAL
21,496.0,2024-05-16 04:33:53,DELIVERED,CENTRAL
22,438.0,2025-03-22 03:07:07,DELIVERED,EAST
23,539.0,2025-02-07 08:49:40,DELIVERED,CENTRAL
24,133.0,2025-07-03 16:36:31,DELIVERED,WEST
25,510.0,2026-03-18 08:02:11,DELIVERED,SOUTH
26,298.0,,RETURNED,NORTH
27,25.0,2024-07-02 15:04:53,DELIVERED,NORTH
28,425.0,2024-11-18 01:51:13,DELIVERED,EAST
29,218.0,2025-06-27 03:53:54,PLACED,SOUTH
30,261.0,2025-03-13 11:48:16,DELIVERED,EAST
31,519.0,2025-04-11 11:23:55,DELIVERED,NORTH
32,342.0,2024-06-25 20:08:31,DELIVERED,CENTRAL
33,180.0,2024-02-15 05:34:28,SHIPPED,EAST
34,486.0,2026-01-14 06:27:03,DELIVERED,SOUTH
