product_id,product_name,category,subcategory,cost_price
1,Pressure Cooker 5L,Home,Kitchen,24895.82
2,Half Girlfriend 2024 Edition,Books,Fiction,45514.72
3,Hp Pavilion 15 2024 Edition,Electronics,Laptops,46783.7
4,Led Diya Set Plus,Home,Decor,52679.72
5,Wren And Martin Grammar Lite,Books,Academic,34342.79
6,Boat Rockerz Headphones Plus,Electronics,Accessories,24208.29
7,Think Like A Monk V2,Books,Self-Help,24133.11
8,Denim Jacket V2,Clothing,Women,14292.88
9,Denim Jeans Plus,Clothing,Men,1262.96
10,Cotton Saree Plus,Clothing,Women,16856.78
11,Ikigai V2,Books,Self-Help,5938.13
12,Lenovo Ideapad Slim Plus,Electronics,Laptops,58454.45
13,Anarkali Suit Plus,Clothing,Women,43741.52
14,Iphone 13 Pro,Electronics,Mobiles,26530.91
15,Pressure Cooker 5L V2,Home,Kitchen,29093.4
16,Kids T-Shirt,Clothing,Kids,30940.42
17,Cotton Saree V2,Clothing,Women,30432.38
18,Wall Clock 2024 Edition,Home,Decor,1785.44
19,Mi Power Bank 20000Mah,Electronics,Accessories,15006.94
20,Kids T-Shirt V2,Clothing,Kids,11986.63
21,Mixer Grinder 2024 Edition,Home,Kitchen,23846.69
22,Think Like A Monk,Books,Self-Help,14554.19
23,Steel Dinner Set Pro,Home,Kitchen,57633.2
24,Photo Frame Set Plus,Home,Decor,20687.73
25,Formal Shirt V2,Clothing,Men,49860.67
26,Samsung Galaxy M14 Lite,Electronics,Mobiles,3026.58
27,Logitech Wireless Mouse Pro,Electronics,Accessories,38860.42
28,Denim Jeans V2,Clothing,Men,24599.96
29,Think Like A Monk,Books,Self-Help,28472.13
30,Boat Rockerz Headphones 2024 Edition,Electronics,Accessories,48061.85
31,Train To Pakistan Plus,Books,Fiction,42778.79
32,Denim Jeans Lite,Clothing,Men,53734.2
33,Mixer Grinder Plus,Home,Kitchen,13131.63
34,Wall Clock 2024 Edition,Home,Decor,23859.29
35,Bookshelf V2,Home,Furniture,57990.8
36,Photo Frame Set V2,Home,Decor,35646.66
37,Think Like A Monk,Books,Self-Help,28930.22
38,Denim Jeans V2,Clothing,Men,19541.97
39,Wren And Martin Grammar V2,Books,Academic,57133.66
40,Mi Power Bank 20000Mah Pro,Electronics,Accessories,31061.75
41,Realme Narzo 60 2024 Edition,Electronics,Mobiles,24275.7
42,Lenovo Ideapad Slim V2,Electronics,Laptops,1576.04
43,Nehru Jacket Plus,Clothing,Men,54419.35
44,Oneplus Nord Ce 2024 Edition,Electronics,Mobiles,42498.73
45,Mi Power Bank 20000Mah Plus,Electronics,Accessories,43606.67
46,Led Diya Set V2,Home,Decor,47104.58
