item_id,order_id,product_id,quantity,unit_price,discount_percent
1,340,344,4,10444.86,15
2,167,108,1,3800.6,25
3,225,4,2,75724.21,25
4,639,219,3,427.15,20
5,211,410,1,21844.87,15
6,11,76,5,28878.69,0
7,146,298,5,54191.91,15
8,45,31,3,53028.81,0
9,225,269,3,57423.5,30
10,252,183,2,19108.56,10
11,104,22,2,22182.78,20
12,671,114,2,69709.49,10
13,468,246,3,27914.59,0
14,540,445,1,27899.96,0
15,148,134,2,30620.14,30
16,388,384,4,14478.55,5
17,48,194,-3,6556.9,0
18,336,254,3,40420.28,0
19,521,501,1,24622.64,25
20,680,67,4,18339.68,30
21,384,511,2,15392.22,15
22,383,495,4,71722.29,25
23,275,411,5,16151.05,0
24,213,225,4,24580.64,5
25,406,224,4,66355.0,50
26,161,384,1,14158.98,0
27,87,303,3,443.96,5
28,598,43,5,73975.7,15
29,437,462,4,46983.42,15
30,510,325,1,38406.46,0
31,453,240,1,67156.98,15
32,85,302,5,88363.6,30
33,660,81,2,42838.88,0
34,122,74,5,18033.17,5
35,342,202,3,19235.13,10
36,700,282,5,42857.4,0
37,557,268,3,62450.44,10
38,355,414,5,51237.92,0
39,484,153,2,13489.27,5
40,215,486,5,49754.34,30
41,480,473,1,77233.02,15
42,193,440,4,68636.46,5
43,450,461,1,67347.4,15
44,143,132,1,19691.96,25
45,675,364,4,36557.66,20
46,414,307,1,37661.89,50
47,33,143,3,33158.86,50
48,645,401,2,55505.64,20
49,66,396,1,69452.82,15
50,584,463,3,67842.05,0
51,176,107,2,80284.66,0
52,618,501,2,22998.23,0
53,396,291,3,48945.2,30
54,72,466,5,9249.26,0
55,176,335,4,51243.25,20
56,161,114,4,64669.16,25
57,71,399,2,30813.21,0
58,211,318,4,28763.81,0
59,619,318,5,30258.83,25
60,283,207,2,21125.01,25
61,66,409,2,76690.94,30
62,337,503,5,25207.24,0
63,94,295,4,44627.01,15
64,305,401,2,49742.02,20
65,256,184,4,76715.82,25
66,394,188,1,55109.72,20
67,45,246,2,32837.73,10
68,644,299,1,1408.26,5
69,506,422,5,10326.59,0
70,378,79,5,58451.95,15
71,420,462,2,42278.85,30
72,46,474,4,10216.3,20
73,352,409,4,82779.92,0
74,11,257,2,69880.86,15
75,687,476,1,60728.96,0
76,562,249,4,18727.91,0
77,483,286,2,56349.25,0
78,622,103,1,51385.84,30
79,401,173,1,21451.94,10
80,158,452,2,25587.26,0
81,692,222,1,36082.71,30
82,657,106,3,2356.61,25
83,54,5,4,40246.29,5
84,256,384,2,17455.39,0
85,17,432,1,26914.31,15
86,197,65,1,28005.1,0
87,172,46,1,62981.46,15
88,331,195,5,33362.66,20
89,439,124,1,22972.24,15
90,332,178,3,25078.09,0
91,399,218,1,29708.11,10
92,666,378,2,43911.05,20
93,309,512,1,25555.43,30
94,583,176,1,31565.48,50
95,333,398,2,19070.55,15
96,180,326,4,43662.66,0
97,344,19,5,21367.48,25
98,392,239,1,74977.58,5
99,22,128,4,55386.28,5
100,635,82,3,44533.03,25
101,304,207,2,22313.78,0
102,244,455,3,7049.66,0
103,285,326,1,39530.41,30
104,425,296,2,3290.69,15
105,351,249,1,15819.08,5
106,228,391,2,68822.86,25
107,645,7,4,28454.81,0
108,198,54,2,81334.66,5
109,129,94,5,34245.15,5
110,242,520,4,34870.29,10
111,169,203,2,72601.12,50
112,255,311,-4,73289.86,5
113,279,493,3,24715.75,20
114,387,172,4,4219.98,30
115,625,444,4,53368.06,0
116,391,438,3,91915.05,50
117,551,157,2,8663.62,10
118,390,475,-3,52969.66,20
119,576,493,2,24640.01,25
120,201,159,1,73534.33,0
