product_id,product_name,category,subcategory,cost_price
1,Pressure Cooker 5L,Home,Kitchen,24895.82
2, half girlfriend 2024 edition ,Books,Fiction,45514.72
3,HP PAVILION 15 2024 EDITION,Electronics,Laptops,46783.7
4,LED Diya Set Plus,Home,Decor,52679.72
5,Wren and Martin Grammar Lite,Books,Academic,34342.79
6,  Boat Rockerz Headphones Plus  ,Electronics,Accessories,24208.29
7,Think Like a Monk V2,Books,Self-Help,24133.11
8,DENIM JACKET V2,Clothing,Women,14292.88
9,denim jeans plus,Clothing,Men,1262.96
10,Cotton Saree Plus,Clothing,Women,16856.78
11,ikigai v2,Books,Self-Help,5938.13
12,Lenovo IdeaPad Slim Plus,Electronics,Laptops,58454.45
13,  Anarkali Suit Plus  ,Clothing,Women,43741.52
14, iphone 13 pro ,Electronics,Mobiles,26530.91
15,  Pressure Cooker 5L V2  ,Home,Kitchen,29093.4
16,Kids T-Shirt,Clothing,Kids,30940.42
17,Cotton Saree V2,Clothing,Women,30432.38
18,Wall Clock 2024 Edition,Home,Decor,1785.44
19,Mi Power Bank 20000mAh,Electronics,Accessories,15006.94
20,Kids T-Shirt V2,Clothing,Kids,11986.63
21, mixer grinder 2024 edition ,Home,Kitchen,23846.69
22,Think Like a Monk,Books,Self-Help,14554.19
23,Steel Dinner Set Pro,Home,Kitchen,57633.2
24,photo frame set plus,Home,Decor,20687.73
25,Formal Shirt V2,Clothing,Men,49860.67
26,samsung galaxy m14 lite,Electronics,Mobiles,3026.58
27,LOGITECH WIRELESS MOUSE PRO,Electronics,Accessories,38860.42
28,Denim Jeans V2,Clothing,Men,24599.96
29,Think Like a Monk,Books,Self-Help,28472.13
30,Boat Rockerz Headphones 2024 Edition,Electronics,Accessories,48061.85
31,TRAIN TO PAKISTAN PLUS,Books,Fiction,42778.79
32,denim jeans lite,Clothing,Men,53734.2
33,Mixer Grinder Plus,Home,Kitchen,13131.63
34,Wall Clock 2024 Edition,Home,Decor,23859.29
35,bookshelf v2,Home,Furniture,57990.8
36,Photo Frame Set V2,Home,Decor,35646.66
37,Think Like a Monk,Books,Self-Help,28930.22
38,Denim Jeans V2,Clothing,Men,19541.97
39,WREN AND MARTIN GRAMMAR V2,Books,Academic,57133.66
40,Mi Power Bank 20000mAh Pro,Electronics,Accessories,31061.75
41,Realme Narzo 60 2024 Edition,Electronics,Mobiles,24275.7
42,Lenovo IdeaPad Slim V2,Electronics,Laptops,1576.04
43,Nehru Jacket Plus,Clothing,Men,54419.35
44,  OnePlus Nord CE 2024 Edition  ,Electronics,Mobiles,42498.73
45,Mi Power Bank 20000mAh Plus,Electronics,Accessories,43606.67
